iter	Passed	Remaining
593	54941	37552
594	55030	37457
595	55116	37360
596	55195	37258
597	55279	37161
598	55374	37070
599	55464	36976
600	55560	36885
601	55638	36784
602	55733	36693
603	55823	36599
604	55916	36507
605	56014	36418
606	56106	36325
607	56202	36235
608	56289	36139
609	56383	36048
610	56473	35954
611	56560	35858
612	56645	35761
613	56743	35672
614	56841	35583
615	56936	35492
616	57019	35394
617	57109	35300
618	57201	35207
619	57285	35110
620	57371	35013
621	57465	34922
622	57567	34836
623	57653	34740
624	57740	34644
625	57828	34549
626	57913	34452
627	58000	34356
628	58102	34270
629	58199	34180
630	58291	34088
631	58377	33991
632	58457	33892
633	58551	33801
634	58635	33703
635	58729	33612
636	58809	33513
637	58898	33419
638	58987	33324
639	59079	33232
640	59175	33141
641	59276	33054
642	59363	32959
643	59456	32867
644	59544	32772
645	59642	32683
646	59730	32588
647	59812	32490
648	59911	32402
649	60005	32310
650	60108	32224
651	60199	32130
652	60302	32044
653	60397	31953
654	60486	31859
655	60581	31768
656	60675	31676
657	60759	31579
658	60843	31483
659	60930	31388
660	61032	31301
661	61138	31215
662	61230	31123
663	61321	31029
664	61406	30934
665	61503	30844
666	61591	30749
667	61686	30658
668	61772	30562
669	61861	30469
670	61946	30373
671	62032	30277
672	62120	30183
673	62210	30090
674	62302	29997
675	62385	29900
676	62474	29806
677	62579	29720
678	62676	29630
679	62769	29538
680	62870	29450
681	62962	29357
682	63050	29263
683	63137	29168
684	63221	29072
685	63318	28982
686	63417	28893
687	63497	28795
688	63583	28700
689	63686	28612
690	63771	28517
691	63871	28428
692	63963	28335
693	64053	28242
694	64135	28145
695	64224	28051
696	64325	27963
697	64424	27874
698	64514	27781
699	64602	27686
700	64693	27594
701	64787	27502
702	64881	27410
703	64966	27315
704	65070	27228
705	65164	27136
706	65255	27043
707	65339	26948
708	65426	26853
709	65512	26758
710	65595	26662
711	65688	26570
712	65784	26479
713	65870	26385
714	65964	26293
715	66062	26203
716	66156	26112
717	66245	26018
718	66334	25924
719	66430	25834
720	66515	25739
721	66607	25646
722	66702	25555
723	66801	25465
724	66894	25373
725	66989	25282
726	67089	25193
727	67188	25103
728	67279	25010
729	67360	24914
730	67444	24818
731	67536	24726
732	67625	24633
733	67715	24539
734	67814	24450
735	67915	24361
736	68008	24268
737	68095	24174
738	68184	24081
739	68266	23985
740	68351	23890
741	68448	23800
742	68539	23707
743	68617	23610
744	68697	23514
745	68787	23421
746	68879	23328
747	68965	23234
748	69059	23142
749	69146	23048
750	69237	22956
751	69325	22862
752	69409	22767
753	69502	22675
754	69594	22583
755	69683	22490
756	69787	22402
757	69874	22308
758	69972	22217
759	70054	22122
760	70150	22031
761	70240	21938
762	70330	21845
763	70413	21750
764	70503	21657
765	70598	21566
766	70699	21477
767	70784	21382
768	70878	21291
769	70969	21198
770	71051	21103
771	71135	21008
772	71230	20917
773	71325	20826
774	71420	20734
775	71513	20643
776	71606	20551
777	71696	20458
778	71788	20366
779	71876	20272
